table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019;;;;;;;;;;;;;
Rank;Geographic Area;avril 1, 2010;;Population Estimate (as of July 1);;;;;;;;;
59;Corpus Christi city, Texas;305215;305226;305272;308103;312390;317043;320765;324672;325786;325568;326307;326586
60;Lexington-Fayette urban county, Kentucky;295803;295870;296848;301696;305947;309865;311784;315819;319644;321964;322426;323152
61;Henderson city, Nevada;257729;257001;257452;258752;263278;268274;274255;282167;289480;299314;309518;320189
62;Stockton city, California;291707;292182;292888;295363;297045;297493;301062;304550;307158;310143;311628;312697
63;St. Paul city, Minnesota;285068;285112;285510;288872;291280;295054;297655;299915;302948;304913;306960;308096
64;Cincinnati city, Ohio;296943;297025;296980;296187;296900;297905;298626;299439;299748;301587;302277;303940
65;St. Louis city, Missouri;319294;319289;319336;319344;319416;318476;317399;316010;312633;308233;303419;300576
66;Pittsburgh city, Pennsylvania;305704;305245;305283;306012;306355;306902;305964;304070;304643;301494;300570;300286
67;Greensboro city, North Carolina;269666;268936;269598;272430;276041;279244;282261;284610;289182;291537;294518;296710
68;Lincoln city, Nebraska;258379;258794;259455;262690;265861;269129;274128;277345;281339;284527;286930;289102
69;Anchorage municipality, Alaska;291826;291836;293321;296197;298255;301142;299893;297547;297249;294338;290521;288000
70;Plano city, Texas;259841;259859;261234;267035;272329;274708;278226;283887;287269;287715;288747;287677
71;Orlando city, Florida;238300;238836;239326;243620;249935;255135;262469;270786;278512;281804;285903;287442
72;Irvine city, California;212375;212107;213450;220303;229063;236057;247136;255382;265345;276000;281732;287401
73;Newark city, New Jersey;277140;277135;277175;277574;277594;278121;278936;279636;280681;281237;281752;282011
74;Durham city, North Carolina;228330;229892;230727;235341;241117;246992;253290;258647;265499;269844;274557;278993
75;Chula Vista city, California;243916;243923;244648;248318;252379;256691;259885;264206;266238;269046;270819;274492
76;Toledo city, Ohio;287208;287357;287065;285425;283185;282352;280712;279898;278897;276688;274864;272779
77;Fort Wayne city, Indiana;253691;253739;254161;256293;257626;259333;260570;262109;263513;265128;267460;270402
78;St. Petersburg city, Florida;244769;245177;245222;245871;246656;248453;252225;255041;259266;262588;264466;265351
79;Laredo city, Texas;236091;235780;236807;241195;245728;249602;252734;255271;257862;259324;260856;262491
80;Jersey City city, New Jersey;247597;247608;248324;252877;256072;257119;258632;260171;260427;263292;263851;262075
81;Chandler city, Arizona;236123;236157;236454;236834;237660;239888;240888;243679;247845;253599;257186;261165
82;Madison city, Wisconsin;233209;233173;233730;236908;239880;243233;245848;248788;252677;255786;257854;259680
83;Lubbock city, Texas;229573;229943;231105;233928;236361;239708;244350;247950;251387;254432;256469;258862
84;Scottsdale city, Arizona;217385;217492;217638;220816;225191;228887;233949;241073;247953;251396;254479;258069
85;Reno city, Nevada;225221;225317;225652;227061;228926;230987;234096;238082;242143;246615;250146;255601
86;Buffalo city, New York;261310;261346;261275;260701;260155;260013;259548;258165;256816;256301;255781;255284
87;Gilbert town, Arizona;208453;208462;209493;211466;215916;221626;227308;232401;237139;242695;249914;254114
88;Glendale city, Arizona;226721;226172;226236;229304;233588;236869;239964;243103;245903;247784;249955;252381
89;North Las Vegas city, Nevada;216961;216667;216836;218291;221856;225346;228680;232537;236513;240504;245349;251974
90;Winston-Salem city, North Carolina;229617;229627;230022;231867;233867;235728;238478;239755;241776;244501;246535;247945
91;Chesapeake city, Virginia;222209;222311;223556;225361;228091;230327;233360;235111;237464;240143;242359;244835
92;Norfolk city, Virginia;242803;242827;242999;243655;246149;245468;246576;246457;245680;244543;243585;242742
93;Fremont city, California;214089;214074;214553;217391;221426;224796;228274;231687;233478;234544;237811;241110
94;Garland city, Texas;226876;226908;227345;230055;233698;234660;235590;237161;236310;238327;241709;239928
95;Irving city, Texas;216290;216285;216859;219859;225748;228943;232584;237201;239898;240608;241424;239798
96;Hialeah city, Florida;224669;224704;225470;228127;230445;232316;232850;233872;234283;236314;234941;233339
97;Richmond city, Virginia;204214;204375;204302;206391;210794;213860;217044;220856;225369;227230;229221;230436
98;Boise City city, Idaho;205671;209384;209576;212635;215627;217330;219440;220850;224604;227648;228442;228959
99;Spokane city, Washington;208916;209455;209525;209042;209304;210036;211095;212545;215191;217415;219332;222081
100;Baton Rouge city, Louisiana;229493;229423;229374;228643;228889;228346;227851;227202;226686;224414;222190;220236
101;Tacoma city, Washington;198397;198247;198230;199519;201537;202127;203740;206784;210248;213417;216111;217827
102;San Bernardino city, California;209924;210422;210637;212159;213161;213789;214222;215325;216036;216902;216323;215784
103;Modesto city, California;201165;203114;203301;204017;205040;206075;207652;209245;211231;213000;214389;215196
104;Fontana city, California;196069;196458;197317;199880;201212;202670;203972;206163;208718;211122;213202;214547
105;Des Moines city, Iowa;203433;204220;205032;207924;210244;212026;214350;215243;216308;216662;215994;214237
106;Moreno Valley city, California;193365;193305;194240;196590;198214;200195;201831;202919;204711;206741;208889;213055
107;Santa Clarita city, California;176320;208778;208822;209843;210672;211376;212283;213184;213526;213734;213549;212979
108;Fayetteville city, North Carolina;200564;200565;208337;208745;208884;211069;210076;209596;211065;209091;210748;211657
109;Birmingham city, Alabama;212237;212585;212328;212095;211287;211765;211651;212259;211977;211533;210487;209403
110;Oxnard city, California;197899;198047;198539;199968;201105;202835;204560;206228;207455;208831;209271;208881
